C0    N     IDLE 
46    1     70.45
80    2     70.20
108   3     58.23
143   4     49.54
155   5     53.96
188   6     55.69
204   7     52.56
222   8     46.54
238   9     45.44
259   10    40.21
265   11    38.00
279   12    37.14
283   13    29.44
284   14    32.75
308   15    29.49
331   16    29.05
339   17    25.03
346   18    19.92
348   19    18.08
348   20    24.47
382   21    16.79
367   22    19.21
400   23    12.54
376   24    17.14
405   25    9.46 
421   26    8.12 
426   27    4.59 
339   28    4.69 
415   29    1.73 
440   30    3.77 
415   31    4.44 
446   32    3.63 
430   33    1.73 
412   34    0.61 
417   35    1.32 
410   36    1.22 
433   37    1.01 
402   38    0.72 
406   39    0.51 
417   40    0.41 
399   41    0.31 
407   42    0.61 
400   43    0.00 
399   44    0.31 
404   45    0.31 
396   46    0.00 
412   47    0.10 
403   48    0.00 
408   49    0.10 
413   50    0.20 
